idx,title,etc,description,rating,review_sadness,review_joy,review_fear,review_disgust,review_anger,url
502,The King of Comedy,Comedy Crime Drama,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",10,0.074091,0.772431,0.126985,0.011545,0.017212,https://whatdoido.kro.kr/movie/502.jpg
503,How to Train Your Dragon 2,Animation Action Adventure,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",10,0.017186,0.655454,0.34979,0.005973,0.003105,https://whatdoido.kro.kr/movie/503.jpg
504,What Ever Happened to Baby Jane?,Drama Horror Thriller,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,10,0.102728,0.589939,0.129199,0.205487,0.036594,https://whatdoido.kro.kr/movie/504.jpg
505,The Wild Bunch,Action Adventure Western,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",5,0.599127,0.009925,0.334277,0.167093,0.254322,https://whatdoido.kro.kr/movie/505.jpg
506,Fiddler on the Roof,Drama Family Musical,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.",,0.015411,0.936658,0.021285,0.024163,0.009767,https://whatdoido.kro.kr/movie/506.jpg
507,Miller's Crossing,Crime Drama Thriller,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",7,0.387172,0.266861,0.185666,0.15793,0.180563,https://whatdoido.kro.kr/movie/507.jpg
508,Paths of Glory,Drama War,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",10,0.510114,0.283535,0.108563,0.202395,0.073247,https://whatdoido.kro.kr/movie/508.jpg
509,Finding Neverland,Biography Drama Family,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,9,0.521956,0.715529,0.04547,0.066477,0.040206,https://whatdoido.kro.kr/movie/509.jpg
510,I Am Sam,Drama,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,10,0.496501,0.389661,0.096,0.039139,0.042898,https://whatdoido.kro.kr/movie/510.jpg
511,Secrets & Lies,Comedy Drama,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",10,0.050928,0.769352,0.029601,0.02207,0.12981,https://whatdoido.kro.kr/movie/511.jpg
512,Changeling,Biography Crime Drama,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,9,0.204055,0.648541,0.073481,0.149657,0.15855,https://whatdoido.kro.kr/movie/512.jpg
513,The Iron Giant,Animation Action Adventure,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,10,0.076868,0.071136,0.15861,0.593791,0.341384,https://whatdoido.kro.kr/movie/513.jpg
514,Network,Drama,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,8,0.510442,0.086329,0.287265,0.178138,0.238512,https://whatdoido.kro.kr/movie/514.jpg
515,Harold and Maude,Comedy Drama Romance,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",9,0.548078,0.625064,0.072268,0.084837,0.07141,https://whatdoido.kro.kr/movie/515.jpg
516,The Killing Fields,Biography Drama History,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.",10,0.070764,0.690022,0.112503,0.151276,0.047362,https://whatdoido.kro.kr/movie/516.jpg
517,On the Waterfront,Crime Drama Thriller,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,10,0.528568,0.659732,0.477121,0.180627,0.130707,https://whatdoido.kro.kr/movie/517.jpg
